bib_id,title,author_year,type,related_people,topic_tags,notes,url
B011,Check-Up: 20 Basic Studies for Flutists,Peter-Lukas Graf,method / daily studies,Peter-Lukas Graf,basics; tone; articulation; fingers; practice,Compact technical and musical maintenance studies.,https://search.worldcat.org/search?q=Peter-Lukas+Graf+Check-Up+20+Basic+Studies+for+Flutists
B012,Interpretation: How to Shape a Melodic Line,Peter-Lukas Graf,interpretation book,Peter-Lukas Graf,phrasing; line; style; musical analysis,Useful for connecting technique to phrasing and musical structure.,https://search.worldcat.org/search?q=Peter-Lukas+Graf+Interpretation+How+to+Shape+a+Melodic+Line
B013,The Other Flute,"Robert Dick, 1975",extended techniques,Robert Dick,extended techniques; multiphonics; contemporary flute; notation,Landmark text for contemporary flute sounds.,https://search.worldcat.org/search?q=Robert+Dick+The+Other+Flute
B014,Tone Development Through Extended Techniques,Robert Dick,extended technique / tone method,Robert Dick,tone; harmonics; multiphonics; flexibility; contemporary technique,Connects extended sounds to mainstream tone development.,https://search.worldcat.org/search?q=Robert+Dick+Tone+Development+Through+Extended+Techniques
B015,Circular Breathing for the Flutist,Robert Dick,technique manual,Robert Dick,circular breathing; contemporary technique; breath,Practical source for circular breathing training.,https://search.worldcat.org/search?q=Robert+Dick+Circular+Breathing+for+the+Flutist
B016,Flûtes au présent / Present Day Flutes,Pierre-Yves Artaud,contemporary technique manual,Pierre-Yves Artaud,contemporary music; extended techniques; notation; flute family,Important French source for contemporary flute techniques.,https://search.worldcat.org/search?q=Pierre-Yves+Artaud+Present+Day+Flutes
B017,The Techniques of Flute Playing,Carin Levine and Christina Mitropoulos-Bott,contemporary technique manual,Carin Levine; Christina Mitropoulos-Bott,extended techniques; notation; contemporary repertoire,Comprehensive guide often used by performers and composers.,https://search.worldcat.org/search?q=The+Techniques+of+Flute+Playing+Levine+Mitropoulos-Bott
B018,A Handbook of Literature for the Flute,James Pellerite,bibliography / repertoire guide,James Pellerite,repertoire; bibliography; pedagogy,Important repertoire reference for teachers and students.,https://search.worldcat.org/search?q=James+Pellerite+A+Handbook+of+Literature+for+the+Flute
B019,A Modern Guide to Fingerings for the Flute,James Pellerite,fingering reference,James Pellerite,fingerings; intonation; alternate fingerings; technique,Major fingering reference for advanced flutists.,https://search.worldcat.org/search?q=James+Pellerite+A+Modern+Guide+to+Fingerings+for+the+Flute
B020,The Flute Book: A Complete Guide for Students and Performers,"Nancy Toff, 3rd ed.",reference book,Nancy Toff,history; repertoire; pedagogy; instrument; performance practice,Major general reference for flute students and performers.,https://www.semanticscholar.org/paper/The-Flute-Book%3A-A-Complete-Guide-for-Students-and-Toff/edd41608d0a9ef80282878f1484021adaef8cf6a
B021,My Complete Story of the Flute,"Leonardo De Lorenzo, 1951",history / reference,Leonardo De Lorenzo,flute history; biography; repertoire; pedagogy,Historically important narrative flute history by a flutist-scholar.,https://search.worldcat.org/search?q=Leonardo+De+Lorenzo+My+Complete+Story+of+the+Flute
B022,The Flute,"Ardal Powell, 2002",history / organology,Ardal Powell,flute history; instruments; historical performance; organology,Major historical study of the flute and its development.,https://search.worldcat.org/search?q=Ardal+Powell+The+Flute
B023,The Early Flute,"Rachel Brown, 2002",historical performance guide,Rachel Brown,early flute; traverso; baroque; classical style,Practical and historical guide for early flutes and style.,https://search.worldcat.org/search?q=Rachel+Brown+The+Early+Flute
B024,The Flutist's Progress,Walfrid Kujala,pedagogy book,Walfrid Kujala,piccolo; flute; orchestral technique; practice,Pedagogical essays and guidance from a major orchestral flautist.,https://search.worldcat.org/search?q=Walfrid+Kujala+The+Flutist%27s+Progress
B025,Orchestral Techniques for Flute and Piccolo,Walfrid Kujala,orchestral technique,Walfrid Kujala,orchestral excerpts; piccolo; articulation; rhythm,Highly useful for audition and orchestral training.,https://search.worldcat.org/search?q=Walfrid+Kujala+Orchestral+Techniques+for+Flute+and+Piccolo
B026,Orchestral Excerpts for Flute with Piano Accompaniments,Jeanne Baxtresser,orchestral excerpts,Jeanne Baxtresser,orchestral excerpts; auditions; phrasing; context,Standard excerpt study resource with musical context.,https://search.worldcat.org/search?q=Jeanne+Baxtresser+Orchestral+Excerpts+for+Flute
B027,"Flute Etudes Book, Vol. I: 51 Etudes in All Keys",Mary Karen Clardy,etude anthology,Mary Karen Clardy,etudes; pedagogy; technique; repertoire,Mary Karen Clardy 編選；Schott Music，EA 764。,https://www.schott-music.com/en/flute-etudes-book-no31604.html
B028,Flute 101: Mastering the Basics,Patricia George and Phyllis Avidan Louke,beginner pedagogy,Patricia George,beginner flute; fundamentals; pedagogy; repertoire,Modern beginner method with systematic sequencing.,https://search.worldcat.org/search?q=Patricia+George+Flute+101+Mastering+the+Basics
B029,Flute 102: Mastering the Basics,Patricia George and Phyllis Avidan Louke,pedagogy method,Patricia George,intermediate flute; pedagogy; fundamentals; practice,Continuation volume for developing students.,https://search.worldcat.org/search?q=Patricia+George+Flute+102
B030,The Paula Robison Flute Masterclass,Paula Robison,masterclass / interpretation,Paula Robison,masterclass; interpretation; repertoire; singing style,Masterclass-style source for musical imagination and repertoire study.,https://search.worldcat.org/search?q=Paula+Robison+Flute+Masterclass
B031,Kincaidiana: A Flute Player’s Notebook,John C. Krell,pedagogy notes,John Krell,piccolo; flute; phrasing; orchestral playing; teaching notes,整理 William Kincaid 的教學觀念。,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/john-krell
B032,"The Right Place, The Right Time!",Donald Peck,memoir / orchestral history,Donald Peck,Chicago Symphony; orchestral life; memoir; flute history,First-person orchestral history from a long-serving principal flautist.,https://search.worldcat.org/search?q=Donald+Peck+The+Right+Place+The+Right+Time
B033,The Notation Is Not the Music,"Barthold Kuijken, 2013",historical performance essays,Barthold Kuijken,historical performance; notation; rhetoric; early music,Important performance-practice essays by a leading historical flautist.,https://search.worldcat.org/search?q=Barthold+Kuijken+The+Notation+Is+Not+the+Music
B034,"Music, My Love",Jean-Pierre Rampal,autobiography,Jean-Pierre Rampal,Rampal; solo career; recording history; French school,Autobiographical source for Rampal's career and artistic world.,https://search.worldcat.org/search?q=Jean-Pierre+Rampal+Music+My+Love
B035,The Man with the Golden Flute,James Galway,autobiography,James Galway,Galway; solo career; orchestral life; public flute culture,Autobiographical source on Galway's formation and career.,https://search.worldcat.org/search?q=James+Galway+The+Man+with+the+Golden+Flute
B036,The Show Must Go On,Gareth Davies,orchestral memoir / contemporary account,Gareth Davies,orchestral life; London Symphony Orchestra; pandemic-era performance,Useful current account of orchestral life and professional culture.,https://search.worldcat.org/search?q=Gareth+Davies+The+Show+Must+Go+On
B037,The Flutist's Handbook: A Pedagogy Anthology,National Flute Association,pedagogy anthology,NFA pedagogy authors,pedagogy; tone; technique; teaching; performance health,NFA anthology of flute pedagogy articles.,https://www.nfaonline.org/committees/committee-web-pages/special-publications-committee
B038,Selected Flute Repertoire and Studies,National Flute Association,graded repertoire and method database,NFA Pedagogy Committee,repertoire; etudes; method books; levels; pedagogy,"NFA graded guide for repertoire, studies and method books.",https://www.nfaonline.org/resources-publications/publications/selected-flute-repertoire-and-studies
B039,The Flutist Quarterly,"National Flute Association, ongoing",journal / magazine,global flute community,performance; study; history; interviews; flute music,"Core periodical for articles, interviews and flute-community research.",https://www.nfaonline.org/resources-publications/publications/flutist-quarterly
B040,National Flute Association Archives Finding Aid,Library of Congress,archive finding aid,NFA; American flute community,archives; NFA; conventions; awards; pedagogy; commissions,Archive-level source for NFA history and materials.,https://hdl.loc.gov/loc.music/eadmus.mu004010.3
B041,Flute Research Guide,Library of Congress,research guide,flute performers and repertoire,library research; special collections; repertoire; performers,Starting point for locating authoritative flute research material.,https://guides.loc.gov/flute/special-collections
B042,Flute Guide,Eastman/Sibley Music Library,library research guide,Eastman flute lineage,library research; scores; recordings; Eastman,Useful research guide connected to an important flute school.,https://libguides.esm.rochester.edu/c.php?g=910894
B043,La Technique d'Embouchure,Philippe Bernold,embouchure / tone method,Philippe Bernold,embouchure; tone; flexibility; French pedagogy,Important modern French embouchure and tone technique book.,https://search.worldcat.org/search?q=Philippe+Bernold+La+Technique+d%27Embouchure
B044,New Sounds for Woodwind,"Bruno Bartolozzi, 1967",extended techniques / composition,Severino Gazzelloni; Robert Dick; Pierre-Yves Artaud,extended techniques; contemporary notation; woodwinds,"Not flute-specific only, but historically important for extended-technique literature.",https://search.worldcat.org/search?q=Bruno+Bartolozzi+New+Sounds+for+Woodwind
B045,A Conversation with Mary Karen Clardy,"Heather Small, 2010",interview / article,Mary Karen Clardy,pedagogy; etudes; teaching career; interview,Useful article-level source on Clardy's teaching and publications.,https://www.smallflute.com/uploads/3/5/0/4/3504497/_mkc_article_june_2010.pdf
B046,"Master Teacher and Performer: Following Your Passion, An Interview with Linda Chesis","The Instrumentalist / Flute Talk, 2019",interview / article,Linda Chesis,pedagogy; chamber music; career; Manhattan School of Music; interview,"Interview source for Chesis's teaching, performing career and MSM appointments.",https://theinstrumentalist.com/september-2019-flute-talk/master-teacher-and-performer-following-your-passion-an-interview-with-linda-chesis/
B047,Make Music and Achieve Success: A Conversation with Molly Barth,"The Flute Examiner, 2016",interview / article,Molly Alicia Barth,pedagogy; Vanderbilt; Michel Debost; contemporary music; interview,Interview source for Barth's teaching philosophy and Debost influence.,https://thefluteexaminer.com/make-music-and-achieve-success-a-conversation-with-molly-barth/
B048,The Flute Methodology of Alberto Almarza,doctoral document / ProQuest,dissertation / methodology study,Alberto Almarza,pedagogy; flute fundamentals; practice; musicianship; biography,"Dissertation-level study centered on Almarza's biography, teaching philosophy and methodology.",https://search.proquest.com/openview/b52df94d468fe0efb3f8237740a720c8/1?cbl=18750&diss=y&pq-origsite=gscholar
B049,James Pellerite: The Right Place at the Right Time,"Flutist Quarterly / Gale record, 2016",profile / article,James Pellerite,NFA Lifetime Achievement; orchestral flute; teaching; Native American flute,"Article-level profile of Pellerite as orchestral flutist, teacher, flutemaker and Native American flute performer.",https://go.gale.com/ps/i.do?id=GALE%7CA454619823&issn=87568667&it=r&linkaccess=abs&p=AONE&sid=googleScholar&sw=w&v=2.1
B050,"Robert Willoughby, Legendary Flute Professor and Performer, Dies at 96","Oberlin Conservatory, 2018",institutional obituary / profile,Robert Willoughby,Oberlin; American flute school; pedagogy; Joseph Mariano; William Kincaid,"Institutional source for Willoughby's long Oberlin tenure, student legacy and American pedagogy lineage.",https://www.oberlin.edu/news/robert-willoughby-legendary-flute-professor-and-performer-dies-96
B051,James Pappoutsakis Biography,James Pappoutsakis Memorial Fund,biographical archive,Georges Laurent,Boston Symphony; New England Conservatory; Paul Taffanel; American flute lineage,"Source for Laurent's Taffanel lineage, Boston Symphony appointment and teaching influence through Pappoutsakis.",https://www.pappoutsakis.org/bio
B052,Legacy of Flute,Curtis Institute of Music,institutional history,William Kincaid,Curtis Institute; Philadelphia Orchestra; American school; orchestral pedagogy,Curtis historical source for Kincaid as founding flute teacher and central figure in the Curtis flute lineage.,https://www.curtis.edu/about/history/legacy-of-flute/
B053,The Gilbert Legacy,"Angeleita S. Floyd, Winzer Press",book / pedagogy study,Geoffrey Gilbert,Geoffrey Gilbert; British flute school; pedagogy; Galway; Bennett; Preston; Wye,Book-length source on Gilbert's teaching legacy and influence on later British and international players.,https://www.winzerpress.com/gilbert-legacy
B054,Remembering Lois Schaefer,"Chicago Symphony Orchestra Archives, 2021",archive obituary / profile,Lois Schaefer,piccolo; Boston Symphony; New England Conservatory; NFA; orchestral career,"Archival source for Schaefer's BSO, NEC and NFA activities and piccolo-centered legacy.",https://csoarchives.wordpress.com/2021/03/29/remembering-lois-schaefer/
B055,Bernard Goldberg: A biographical sketch and study of his teaching technique,"Nora Lee Garcia, 1999；University of Miami，DMA",博士論文／人物與教學研究,Bernard Goldberg,Pittsburgh Symphony; Georges Barrere; Marcel Moyse; pedagogy; biography,以訪談與往來資料整理 Goldberg 的生平、教學觀念及演奏方法。,https://scholarship.miami.edu/esploro/outputs/doctoral/Bernard-Goldberg-A-biographical-sketch-and/991031447713102976
B056,Interview with Andras Adorjan,The Babel Flute,interview,András Adorján,Rampal; Nicolet; German flute pedagogy; performance philosophy; competitions,"Interview source for Adorjan's artistic priorities, pedagogy and European training context.",https://thebabelflute.com/interview-with-andras-adorjan/
B057,"Keith Underwood, Flute Fundamentals",Joffe Woodwinds video archive,pedagogy video / profile,Keith Underwood,flute fundamentals; breathing; embouchure; Thomas Nyfenger; American pedagogy,Pedagogical source for Underwood's fundamentals-based teaching and institutional masterclass presence.,https://www.joffewoodwinds.com/videos/keith-underwood-flute-fundamentals/
B058,Stephen Preston: National Flute Association Lifetime Achievement Award,National Flute Association,award profile / biography,Stephen Preston,historical performance; traverso; Ecosonics; London conservatoires; Geoffrey Gilbert,"NFA source for Preston's historical performance career, London teaching appointments and later Ecosonics work.",https://www.nfaonline.org/about/about-the-nfa/achievement-awards/stephen-preston
B059,Felix Renggli Biography,Official artist website,official biography,Felix Renggli,Basel; Peter-Lukas Graf; Aurele Nicolet; chamber music; Swiss flute school,"Official source for Renggli's training lineage, orchestral posts and chamber-music profile.",https://www.felixrenggli.com/english
B060,Joshua Smith Artist Profile,Philadelphia Chamber Music Society,artist profile,Joshua Smith,Cleveland Orchestra; Cleveland Institute of Music; Julius Baker; Jeffrey Khaner; orchestral flute,"Artist profile documenting Smith's Cleveland Orchestra post, CIM teaching and teacher lineage.",https://www.pcmsconcerts.org/artist/joshua-smith/
B061,Amy Porter: Anatomy of Sound,"The Flute View, 2020",interview / pedagogy article,Amy Porter,University of Michigan; Anatomy of Sound; breathing; pedagogy; American flute teaching,"Interview source for Porter's teaching philosophy, University of Michigan work and Anatomy of Sound pedagogy.",https://thefluteview.com/2020/06/amy-porters-anatomy-of-sound/
B062,Tara Helen O'Connor Faculty Biography,Bard College,faculty profile / biography,Tara Helen O'Connor,Yale; Bard; Purchase; chamber music; Samuel Baron; Thomas Nyfenger; Robert Dick,"Faculty biography with positions, awards and principal teachers useful for contemporary chamber-music lineage.",https://www.bard.edu/faculty/tara-helen-oconnor
B063,Yuki Koyama Artist Profile,Concours de Geneve,competition / artist profile,Yuki Koyama,Finnish Radio Symphony Orchestra; Sibelius Academy; Seoul National University; Kobe Competition,"Competition profile documenting Koyama's principal orchestral post, teaching appointments and prize history.",https://www.concoursgeneve.ch/eng/people/yuki_koyama
B064,Sébastian Jacot Artist Interview,"The Flute View, 2025",interview / artist profile,Sébastian Jacot,Berlin Philharmonic; Hong Kong Philharmonic; Jacques Zoon; competitions; contemporary orchestral career,"Recent interview source for Jacot's career, competition profile and interpretive outlook.",https://thefluteview.com/2025/06/sebastian-jacot-artist-interivew/
